,,CRI,,,,,,,
MSN,CMI,PYO,NAN,,,,,,
LPN,LPG,PRE,UTT,,,,,,
TAK,STI,PLK,,,,,,,
,KPT,PCT,LEI,NKI,BKN,SNK,NPM,,
,UTI,NSN,PNB,NBP,UDN,KSN,MDH,,
,CNT,SBR,LRI,CPM,KKN,MKM,RET,YST,ACR
,SPB,ATG,AYA,SRI,NMA,BRM,SRN,SSK,UBN
,KRI,NBI,PTE,NYK,PRI,,,,
,RBR,NPT,BKK,CBI,CCO,SKW,,,
,PBI,SKM,SKN,SPK,RYG,CTI,,,
,PKN,,,,,TRT,,,
RNG,CPN,,,,,,,,
PNA,SNI,,,,,,,,
PKT,KBI,NRT,,,,,,,
,,TRG,PLG,,,,,,
,,,STN,SKA,PTN,,,,
,,,,,YLA,NWT,,,
